air_temp,brake_mean,compound,driver,drs_activations,fresh_tyre,gp_name,humidity,is_pit_lap,lap_number,lap_time,position,pressure,race_id,rpm_max,rpm_mean,season,sector_1_time,sector_2_time,sector_3_time,session_name,session_type,speed_max,speed_mean,stint,team,throttle_mean,track_status,track_temp,tyre_life,wind_dir,wind_speed
26.1,0.2354260089686098,SOFT,GAS,446,,,,,1.0,105.321,,,2019_BHR,,10390.520179372195,2019,,45.05,24.597,,,,178.7914798206278,1.0,Red Bull Racing,58.399103139013455,,29.2,4.0,45.0,2.8
26.1,0.2057416267942583,SOFT,GAS,417,,,,,2.0,99.116,,,2019_BHR,,10293.184210526317,2019,31.173,43.41,24.533,,,,194.71291866028707,1.0,Red Bull Racing,63.87081339712919,,29.3,5.0,22.0,2.3
26.2,0.2004830917874396,SOFT,GAS,60,,,,,3.0,98.794,,,2019_BHR,,10331.185990338165,2019,31.088,43.26,24.446,,,,194.94202898550725,1.0,Red Bull Racing,64.83333333333333,,29.3,6.0,11.0,1.6
26.2,0.2198581560283688,SOFT,GAS,128,,,,,4.0,100.003,,,2019_BHR,,10303.536643026006,2019,30.658,44.753,24.592,,,,192.9669030732861,1.0,Red Bull Racing,62.21040189125296,,29.3,7.0,10.0,1.9
26.2,0.2053140096618357,SOFT,GAS,125,,,,,5.0,98.574,,,2019_BHR,,10411.601449275362,2019,30.852,43.327,24.395,,,,195.67632850241543,1.0,Red Bull Racing,63.490338164251206,,29.2,8.0,41.0,3.1
26.2,0.2100238663484487,SOFT,GAS,126,,,,,6.0,99.343,,,2019_BHR,,10197.98090692124,2019,30.859,43.662,24.822,,,,194.3078758949881,1.0,Red Bull Racing,62.014319809069214,,29.3,9.0,59.0,3.4
26.2,0.2256532066508313,SOFT,GAS,127,,,,,7.0,100.112,,,2019_BHR,,10300.577197149643,2019,31.091,44.741,24.28,,,,193.2446555819477,1.0,Red Bull Racing,61.76722090261283,,29.2,10.0,15.0,2.3
26.2,0.2129186602870813,SOFT,GAS,125,,,,,8.0,99.189,,,2019_BHR,,10298.30861244019,2019,31.139,43.515,24.535,,,,194.56698564593304,1.0,Red Bull Racing,62.165071770334926,,29.1,11.0,40.0,2.9
26.2,0.2400932400932401,SOFT,GAS,129,,,,,9.0,102.197,,,2019_BHR,,10280.86013986014,2019,30.94,44.23,27.027,,,,188.04195804195805,1.0,Red Bull Racing,62.137529137529135,,29.1,12.0,49.0,2.9
26.1,0.2297029702970297,SOFT,GAS,100,,,,,10.0,119.647,,,2019_BHR,,9988.29108910891,2019,54.237,41.858,23.552,,,,161.72673267326732,2.0,Red Bull Racing,64.35643564356435,,28.9,1.0,53.0,3.1
26.1,0.2195121951219512,SOFT,GAS,89,,,,,11.0,97.179,,,2019_BHR,,10576.102439024393,2019,31.193,42.211,23.775,,,,199.74146341463413,2.0,Red Bull Racing,65.90975609756097,,28.8,2.0,334.0,2.5
26.1,0.1945812807881773,SOFT,GAS,27,,,,,12.0,96.493,,,2019_BHR,,10538.007389162562,2019,30.389,42.253,23.851,,,,200.57635467980296,2.0,Red Bull Racing,66.75615763546799,,28.8,3.0,33.0,1.7
26.1,0.1769041769041769,SOFT,GAS,0,,,,,13.0,96.819,,,2019_BHR,,10396.70515970516,2019,30.639,42.222,23.958,,,,199.97788697788695,2.0,Red Bull Racing,65.76904176904176,,28.8,4.0,4.0,2.5
26.1,0.1916461916461916,SOFT,GAS,99,,,,,14.0,96.567,,,2019_BHR,,10347.830466830466,2019,30.493,42.233,23.841,,,,200.11056511056512,2.0,Red Bull Racing,64.87714987714988,,28.9,5.0,352.0,1.6
26.1,0.2141119221411192,SOFT,GAS,123,,,,,15.0,97.667,,,2019_BHR,,10436.29197080292,2019,30.683,42.987,23.997,,,,197.6009732360097,2.0,Red Bull Racing,64.55474452554745,,28.8,6.0,26.0,2.1
26.1,0.2053789731051344,SOFT,GAS,125,,,,,16.0,97.565,,,2019_BHR,,10360.119804400978,2019,30.728,42.971,23.866,,,,198.12224938875303,2.0,Red Bull Racing,63.93643031784841,,28.8,7.0,47.0,2.1
26.1,0.1888619854721549,SOFT,GAS,27,,,,,17.0,98.07,,,2019_BHR,,10462.573849878934,2019,31.162,43.059,23.849,,,,197.409200968523,2.0,Red Bull Racing,65.82808716707022,,28.7,8.0,34.0,2.4
26.1,0.1804878048780487,SOFT,GAS,0,,,,,18.0,97.473,,,2019_BHR,,10287.256097560976,2019,30.835,42.823,23.815,,,,198.2219512195122,2.0,Red Bull Racing,64.07073170731708,,28.7,9.0,27.0,2.1
26.1,0.181159420289855,SOFT,GAS,0,,,,,19.0,98.052,,,2019_BHR,,10259.531400966183,2019,30.822,43.092,24.138,,,,197.06521739130437,2.0,Red Bull Racing,63.0024154589372,,28.8,10.0,85.0,2.2
26.2,0.1970802919708029,SOFT,GAS,0,,,,,20.0,97.681,,,2019_BHR,,10349.155717761558,2019,30.761,42.982,23.938,,,,197.97810218978103,2.0,Red Bull Racing,63.9367396593674,,29.0,11.0,345.0,2.5
26.3,0.1941747572815534,SOFT,GAS,62,,,,,21.0,97.623,,,2019_BHR,,10282.779126213592,2019,30.875,42.68,24.068,,,,197.7233009708738,2.0,Red Bull Racing,64.54126213592232,,28.8,12.0,30.0,2.2
